Code,Food name,Edible conversion factor,Energy (kj),Water (g),Ash (g),Protein (g),Fat (g),Fibre (g),Carbohydrate available (g),Energy (kcal),Ca (mg),Fe (mg),Mg (mg),P (mg),K (mg),Na (mg),Zn (mg),Se (mcg),Vit A-RAE (mcg),Vit A-RE (mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Dietary Folate Eq. (mcg),Food folate (mcg),Vit B12 (mcg),Vit C (mg)
15004,Mahamri (Swahili Doughnuts),,1728,22.8,0.4,6,22.1,2.1,46.6,413,20,2.8,19,113,101,4,0.56,0,41,42,41,1,0.43,0.3,2.7,243*,60,0.34,0.1
15005,Whole Maize Flour Ugali,,596,64.5,0.5,3.3,1.8,3.8,26,141,12,1.1,31,150,93,7,0.77,4,0,0,0,0,0.08,0.04,0.8,20,20,0,0
15006,“Brown” Maize and Finger Millet Flour Ugali,,562,64,1,3.1,1.3,6.6,24,133,79,2.9,48,112,158,6,0.73,5,0,0,0,0,0.07,0.02,1.2,24,24,0,0
15007,"Maize, Red Sorghum and Finger Millet Ugali",,543,66.2,0.8,3.1,1.4,5.3,23.3,129,39,1.9,44,118,131,6,0.72,5,0,0,0,0,0.07,0.03,1,20,20,0,0
15008,Cassava and Red Sorghum Ugali,,489,69.6,0.7,2.1,0.8,3.4,23.4,116,24,0.9,38,74,163,9,0.5,5,0,0,0,3,0.05,0.04,0.7,14,14,0,0.5
15009,Refined Maize Flour Ugali,,626,62.8,0.6,3.4,1.9,4,27.3,148,12,1.1,33,158,97,8,0.81,4,0,0,0,0,0.09,0.04,0.8,21,21,0,0
15010,"Red Sorghum, Maize flour & Finger Millet Ugali",,634,61,0.7,1.9,0.7,3.6,32.1,150,26,1.3,33,61,92,5,0.44,5,0,0,0,1,0.04,0.02,0.7,11,11,0,0
15011,Cassava Ugali,,788,51.6,1.3,1.1,0.3,2.2,43.7,186,79,0.8,26,57,326,20,0.41,1,1,1,0,7,0.03,0.05,0.6,18,18,0,1.8
15012,"Cassava, Millet & Sorghum Porridge",,194,87.9,0.3,0.5,0.1,1,10.2,46,18,0.4,10,15,47,6,0.12,1,0,0,0,1,0.01,0.01,0.2,4,4,0,0.1
15013,Cassava Porridge (Uji wa Muhogo),,121,92.6,0.2,0.1,0,0.3,6.8,28,12,0.1,4,7,39,5,0.05,0,0,0,0,1,0,0.01,0.1,2,2,0,0.2
15014,Finger Millet Porridge (Uji wa Wimbi),,168,88.8,0.4,0.7,0.2,2.1,7.8,40,35,1.1,16,17,52,4,0.16,2,0,0,0,0,0.01,0,0.4,6,6,0,0
15015,Bulrush Millet Porridge (Uji wa Mawele),,350,79.2,0.6,2,1,1.6,15.7,83,9,6,17,49,55,5,0.77,7,0,0,0,0,0.04,0.03,0.3,21,21,0,0.4
15016,Rice Flour Porridge (Uji wa Mchele),,235,87.5,0.1,0.6,1.3,0.2,10.2,56,4,0.1,5,17,26,5,0.11,1,0,0,0,0,0.01,0,0.2,1,1,0,0.1
15017,“Omena” (Silver Sardine Stew),,747,68.5,2.7,8.8,13.3,0.7,6,180,378,1,20,333,188,449,2.26,4,52,60,44,94,0.04,0.18,1.6,12,12,5.61,6.4
15018,“Busara” (Whole Maize and Finger Millet Porridge),,170,88.6,0.4,1,0.3,2.5,7.3,40,60,1.9,20,32,41,4,0.22,2,0,0,0,0,0.02,0.01,0.5,8,8,0,0
15019,White Chapati,,1774,18.4,0.7,7.8,21.1,2.5,49.6,424,25,3.9,22,126,90,100,0.61,0,59,59,58,1,0.56,0.36,3.6,280,20,0.48,0
15020,Brown Chapati,,1723,20.5,1.2,7.3,22.9,7.2,40.9,413,23,2.4,76,182,213,120,1.5,25,1,1,1,1,0.29,0.08,2,36*,0,0,0
15021,Hard boiled eggs,,569,75.4,0.9,12.9,8.3,0,2.5,136,52,1.7,13,174,122,150,1.09,22,180,180,180,0,0.09,0.42,0,68,68,1.38,0
15022,Fried Egg,,926,64.2,2.4,13.1,17.9,0,2.5,223,56,1.8,14,186,132,717,1.16,23,192,192,192,0,0.11,0.5,0,60,60,1.66,0
15023,Omelette,,502,77.6,1.2,6.6,7.8,1.5,5.3,121,36,1.5,17,105,169,189,0.75,10,95,109,81,165,0.08,0.25,0.4,38,38,0.7,13.4
15024,Spanish Omelette,,667,74,1.6,7.5,12.9,0.8,3.2,161,35,1.3,13,112,135,409,0.75,12,110,119,102,102,0.08,0.28,0.2,40,40,0.88,20.3
15025,Meat Samosa,,1854,13.9,1.6,18.8,22.2,3.1,40.5,443,51,11.5,37,288,302,175,2.99,13,66,85,48,223,0.47,0.42,5.1,222*,32,1.19,7.4
15026,Vegetable Samosa,,1361,30.2,1.7,8.5,13.1,6.2,40.2,325,55,3.8,35,144,333,243,1.76,1,138,237,39,1185,0.46,0.31,3.2,227*,52,0.33,23.7
15027,Pancakes,,1136,41.5,0.8,8.3,8.5,1.7,39.2,270,77,2.9,22,163,138,37,0.83,4,77,78,76,8,0.4,0.4,2.5,203*,24,0.77,0
15028,Egg Toast,,1175,40.3,2.1,12.5,10.7,1.9,32.4,280,56,2.1,25,167,152,587,1.2,20,106,106,106,0,0.14,0.29,2.2,47,47,1,0
15029,Drop Scones,,1870,23.5,0.9,7.1,29.8,1.4,37.4,449,61,2.4,18,135,112,116,0.69,4,88,89,86,21,0.33,0.33,2,166*,21,0.66,0
15030,“Terere” (Amaranth),,342,80.6,2.7,3,5.3,5.5,2.9,83,192,4.9,87,72,442,161,0.75,14,209,418,0,2510,0.03,0.16,0.6,37,37,0,49.3
15031,Sukumawiki,,225,87,1.5,2.5,3.2,3.8,2.1,54,291,2.3,33,56,198,123,0.42,0,122,243,0,1460,0.08,0.1,0.8,35,35,0,82.1
15032,Stir-fried Cabbage,,411,82.7,1.9,1.2,8.6,2.4,3.1,100,48,0.6,11,43,305,510,0.24,1,0,0,0,1,0.04,0.04,0.4,11,11,0,38.6
15033,Jute Mallow (Mrenda) & Pumpkin Leaves,,249,85.3,1.6,3.4,2.3,2,5.4,59,141,1.8,26,105,197,180,0.62,2,72,121,24,580,0.03,0.22,0.3,21,21,0.31,9.19
15034,Pumpkin Leaves,,410,80.8,2.3,3.2,6.7,1.5,5.5,99,166,2,51,101,236,332,0.67,2,61,107,16,548,0.03,0.16,0.6,17,17,0.24,10.7
15035,"Saget, Terere & Managu (Spider plant, Amaranth & African Nightshade)",,251,83,2.5,4.3,1.9,3.8,4.5,60,184,3.3,39,104,244,174,0.7,8,132,244,19,1350,0.02,0.22,0.4,80,80,0.25,16.1
15036,Pilau,,895,56.3,1.5,6.9,9.4,1.1,24.8,213,19,1.3,20,138,285,349,1.24,3,5,8,2,39,0.04,0.1,1.5,12,12,0.4,5.9
15037,Mseto wa Ndengu,,433,74.5,0.6,3.7,1.3,1.5,18.4,103,19,0.8,23,53,101,59,0.48,2,1,1,0,9,0.04,0.04,0.3,30,30,0,0.3
15038,Mseto wa Maharagwe,,807,58.2,1.7,5,7.9,3.8,23.5,193,27,1.3,24,129,172,356,0.76,1,3,5,0,27,0.06,0.06,0.6,29,29,0,2.3
15039,Vine spinach,,299,84.7,1.9,3.2,5.2,3.5,1.4,72,233,9.5,37,55,389,170,0.41,0,166,313,20,1759,0.05,0.17,0.8,44,44,0,56.7
15040,"Fiqe (Red Sorghum, Beans and Teff Flour)",,807,52.5,2.9,7.2,5.8,7.4,24.2,192,170,3.5,77,214,315,495,1.4,4,82,131,34,584,0.15,0.12,1.4,62,62,0,24
15041,"Qanchibelo (Beef, Maize & Wheat Flour)",,560,68.6,1.3,9.6,3.1,1.7,15.7,133,62,5.9,24,156,169,225,1.97,8,40,63,18,270,0.14,0.18,2.4,85*,13,0.56,19.3
15042,"Qita  ""Maize & wheat flour pancake""",,1020,44.3,0.9,5.1,5.6,2.8,41.2,241,24,2.8,28,131,105,158,1.81,0,62,63,61,10,0.35,0.23,2.4,234*,28,0.15,0.2
15043,"Gurdo, Marqa (Ugali in Sour Milk)",,1020,46.9,2,6.6,9.6,5.1,29.7,242,103,2.2,78,246,264,268,1.36,9,65,67,63,24,0.1,0.2,1.3,31,31,0.15,0.4
15044,Green Gram Stew,,454,74.4,1.7,6.3,4.2,4,9.3,109,33,1.6,43,61,184,243,0.57,5,4,8,0,46,0.08,0.04,0.4,71,71,0,2.1
15045,Bean Stew,,263,83.1,1.1,3.5,1.4,3.7,7.2,63,20,1,17,92,125,165,0.44,1,4,8,0,50,0.04,0.03,0.3,24,24,0,1.5
15046,Lentil Stew,,455,72.8,1.6,7.1,3,4.5,11.1,108,26,2,28,81,183,275,0.93,8,3,7,0,40,0.08,0.05,0.6,22,22,0,4.3
15047,Camel Meat (Nyirinyiri),,2170,8.5,3.3,34.6,33.6,0,20,521,7,6.9,21,213,407,346,3.62,17,1,3,0,15,0.04,0.31,8.3,12,12,2.31,0
15048,Mbuboyi (Blood Cooked in Fresh Milk),,410,76.2,2,11.5,2,0,8.3,97,57,13.9,8,62,199,361,1.08,17,,,65,,0.05,0.17,0.2,,,,
15049,Ashir,,529,68.2,1.2,2.7,0.9,1.2,25.8,125,18,0.2,9,29,39,128,0.21,1,5,5,5,2,0.02,0.03,0.1,3,3,0.06,0
15051,"Ugali (Cassava, finger millet & sorghum flour)",,613,61.3,1.1,2,0.6,4.3,30.7,145,69,1.7,40,70,236,11,0.53,4,0,1,0,4,0.05,0.04,0.9,18,18,0,0.8
15052,Yam Stew,,394,76.7,1.6,1.5,2.4,2.5,15.3,94,13,0.7,14,46,279,347,0.21,0,34,67,0,404,0.06,0.02,0.4,15,15,0,5.2
15053,Githeri (stewed Maize & Beans),,661,60.4,1.8,6.7,4.2,7.2,19.7,157,39,2.2,41,214,281,233,1.01,2,0,1,0,2,0.1,0.06,0.8,52,52,0,0.5
15054,"Mukimo (Maize, Beans, Potatoes & Pumpkin Leaves)",,498,67.1,1.9,5,0.7,4.8,20.5,118,38,2,36,159,436,266,0.74,2,4,9,0,52,0.08,0.05,0.9,48,48,0,2.7
15055,Githeri (Fresh Maize & Beans),,773,55.3,2.2,6.9,7.2,10.5,17.8,185,41,2.2,43,222,308,335,1.32,3,2,5,0,27,0.12,0.08,1,57,57,0,0.8
15056,Matoke (Stewed Green Bananas & Meat),,494,72.9,1.9,6,4.1,1.8,13.3,118,16,3.9,22,105,380,381,1.12,5,19,36,2,208,0.05,0.08,1.4,22,22,0.34,9.8
15057,"Mukimo (Fresh Maize, Potato & Pumpkin Leaves)",,457,68.8,1.9,3,1,6.8,18.5,109,44,1.6,35,116,404,336,0.93,2,14,27,0,163,0.09,0.06,1.2,36,36,0,3.7
15058,Stewed Potatoes & Arrowroots,,380,78,1.2,1.9,2.1,1.8,15,90,8,0.9,17,38,401,173,0.44,1,3,7,0,40,0.08,0.05,1,12,12,0,7.1
15059,"Mukimo wa Njahi (Black Beans, Green Bananas & Potatoes)",,693,53.7,2.4,9.5,0.6,7.2,26.5,164,31,3.2,65,152,606,273,1.06,4,0,0,0,2,0.2,0.08,1.2,19,19,0,4.2
15060,Githeri (Fresh beans and Maize),,751,57,2.2,7.8,7.6,10.4,15.1,180,17,1.7,24,119,319,433,1.21,3,6,13,0,76,0.13,0.09,1.4,54,54,0,9.2
15061,Mashed Potato and Bananas,,750,62.1,2.4,2.3,8.5,2.6,22.1,179,12,1.4,23,70,551,544,0.36,1,4,8,0,49,0.06,0.04,0.9,35,35,0,12.6
15062,Mukimo wa Njahi (Raw & Ripe Bananas),,636,57.7,2.2,6.4,0.6,6.5,26.6,151,24,2.2,54,103,437,229,0.79,3,1,2,0,12,0.15,0.07,0.8,14,14,0,9.8
15063,Groundnut Sauce,,1240,50.2,2.7,10.6,23.4,3.5,9.6,298,132,2.3,101,209,366,492,1.2,7,28,28,28,2,0.28,0.21,5,27,27,0.17,0
15064,Vimumunya vya Chumvi (Pumpkin & Coconut Milk),,297,85.8,1.5,1.3,4.9,1.9,4.6,72,16,0.3,13,39,183,325,0.25,1,88,176,0,1060,0.05,0.05,0.6,22,22,0,5.5
15065,Vinolo (Banana and Maize Flour Ugali),,524,68.4,0.6,2.2,0.9,2.5,25.5,124,9,1.2,22,68,147,9,1.16,0,16,16,16,1,0.12,0.08,0.9,96,8,0,6.2
15066r,Biryani rice,,641,65.3,0.6,2.7,3.2,0.3,27.9,152,9,0.3,9,52,22,180,0.47,0,0,0,0,0,0.02,0.04,0.4,3,3,0,0
15066s,Biryani stew,,822,65.3,2.1,8.1,14.3,1.9,8.3,198,28,5.2,24,139,332,480,1.58,8,24,43,6,225,0.04,0.13,1.8,14,14,0.47,14.5
15067,Vimumunya vya Sukari (Sweetened Pumpkin & Coconut Milk),,390,79,0.6,1.1,3,1.8,14.5,93,14,0.3,11,31,155,15,0.21,1,81,162,0,973,0.05,0.04,0.5,19,19,0,5
15068,Wukunu (sweet potatoes &dehulled black beans,,396,73,1.9,4.1,0.6,4.6,15.8,94,21,1.5,33,82,288,229,0.41,1,1,1,0,8,0.1,0.04,0.7,9,9,0,12.6
15069,Mushenye (Green Maize and Sweet Potatoes),,641,60.4,2.1,7.1,4.1,8.6,17.6,153,44,2.3,51,196,340,242,1.07,3,1,3,0,16,0.15,0.07,1.6,50,50,0,5.9
15070,Ingokho (Stewed Chicken),,883,59.7,2.3,18.3,12.3,1.1,6.4,211,21,2.7,23,211,210,482,1.01,16,63,74,53,125,0.11,0.13,5.1,14,14,0.38,18.4
15071,Malesele (Cow Blood with Sour Milk) (Check),,1400,37.5,4.9,20,21.2,1,15.4,335,85,24.8,19,123,831,1070,1.85,29,,,106,,0.1,0.25,0.7,,,,
15072,Tsiswa (Termites),,2140,10.5,6.8,31.6,38.8,5.1,7.3,515,137,29.8,13,584,412,2280,0.41,5,95,96,94,10,0.05,3.15,2.9,4,4,0.25,1.3
15073,Ingokho (Fried Chicken),,2220,6.8,4.3,44.6,35.3,0,9.1,532,31,5.6,38,492,410,932,2.13,39,134,134,134,0,0.18,0.25,12.3,13,13,0.97,2.3
15074,Boiled Rice,,584,67.1,0.7,2.7,2,0.2,27.2,138,9,0.3,9,50,21,216,0.46,0,0,0,0,0,0.02,0.04,0.4,3,3,0,0
15075,Onion Fried Rice (Wali wa Yasmin),,779,58.9,1,3.1,5.1,0.6,31.2,185,13,0.5,12,61,46,275,0.53,1,0,0,0,1,0.02,0.05,0.5,4,4,0,0.9
15076,Stir-fried Spinach,,307,84.4,2.1,2.8,5.4,3.3,2,74,99,3.7,66,47,299,870,0.62,1,142,284,0,1701,0.02,0.08,0.5,70,70,0,16.9
15077,Thabai / Thaa (Stinging Nettle),,143,92.3,1.8,1.2,2.4,0.6,1.9,34,132,1.4,28,26,113,312,0.14,1,0,1,0,4,0.01,0.06,0.2,62,62,0,1
15078,Stewed Cowpea Leaves (Rhikhuvi),,630,74.1,2.8,3.2,13.3,3.2,3.5,152,146,1.3,23,49,202,660,0.53,1,32,52,12,239,0.19,0.22,0.7,31,31,0.15,12.6
15079,Stewed Kunde & Mrenda (Cowpeas Leaves and Jute Mallow),,238,83.5,3.1,3.7,2,3.3,4.4,57,158,2.4,23,93,244,761,0.64,2,84,147,21,757,0.1,0.29,0.4,38,38,0.28,13.1
15080,Stewed Mushrooms in Peanut Butter (Obwoba),,487,73.3,3.4,4.9,6.3,3.8,8.3,117,38,1.4,47,130,408,822,0.54,15,6,12,0,69,0.17,0.35,2.2,27,27,0,6.7
15081,Chai ya Maziwa (Mixed Tea),,153,92.1,0.3,1.1,1.2,0,5.4,36,42,0,5,40,45,15,0.21,1,14,14,13,6,0,0,0,1,1,0.17,0
15082,Stewed Dried Fish,,1380,42.7,3,25.7,23.2,1.4,3.9,330,189,2.1,57,395,403,572,1.02,29,0,0,57,124,0.05,0.03,3.3,0,19,1.52,10.4
15083,Kimanga (Smoked Green Bananas and Kidney Beans),,614,57.7,3.1,6.5,0.9,7.7,24.1,146,46,2,43,188,401,485,0.89,2,2,3,0,20,0.1,0.09,0.9,48,48,0,0.8
15084,Mashed Cassava and Pigeon Peas,,823,46.8,2.4,4.8,0.6,5.8,39.6,194,94,1.6,44,93,469,303,0.85,4,4,8,0,49,0.13,0.07,0.8,52,52,0,1.5
15085,Ndoto (Red Kidney Beans & Red Sorghum),,806,56.4,1.9,5.7,7.9,7,21.3,193,25,1.8,53,162,211,270,0.89,6,0,1,0,3,0.08,0.05,1,35,35,0,0.4
15086,Muthokoi (Dehusked Maize and Beans),,677,62.7,2,5,5.9,4.6,19.8,161,27,1.3,25,120,185,325,0.59,1,0,0,0,2,0.07,0.04,0.4,31,31,0,0.4
15087,Beef Stew,,756,65.7,1.7,17.7,10.4,0.8,3.8,181,12,11.2,27,257,264,315,3.48,18,14,21,7,89,0.01,0.2,3.3,7,7,1.16,7.7
15088,"Munono (Cow blood, beef, cow fat)",,2270,23.9,1.8,19.5,50.3,0,4.6,549,10,16.6,19,203,245,286,3.19,23,,,34,-,0.03,0.18,2.6,-,-,-,-
15089,Fresh blood and Fresh milk,,340,82.5,1.2,6.1,3.1,0,7,81,101,4.7,11,105,161,148,0.79,8,,,49,,0.02,0.23,0.1,,,,
15090,Kimanga (Mashed Sweet Potato & Black Beans),,472,68,2.1,5.4,0.5,5.2,18.9,112,32,1.6,38,78,388,276,0.63,2,4,8,0,49,0.12,0.05,0.8,9,9,0,7.8
15091,Kitojo (Sweet Potato Leaves),,596,74.6,2.9,3.9,12.7,4.6,1.4,144,97,0.9,51,31,500,648,0.26,1,138,276,0,1653,0.07,0.26,0.9,2,2,0,8.1
15092,Pigeon Peas Stew,,494,70.9,1.9,5.7,4.4,6.1,11,118,47,1.4,33,69,260,281,0.74,4,8,16,0,93,0.13,0.03,0.5,47,47,0,2.9
15093,Nchenga/ Nzenga (Crushed Maize),,542,69.5,2.2,2.2,3.9,1.8,20.3,129,13,0.3,11,22,85,552,0.16,0,87,173,0,1038,0.03,0.01,0.2,5,5,0,1.5
15094,Mseto wa Viazi (Potatoes in Rice),,469,73.7,0.6,2.1,1.9,0.5,21.1,111,9,0.4,9,45,92,131,0.38,0,2,4,0,23,0.02,0.03,0.4,7,7,0,2.5
15095,Stewed Guinea Fowl,,642,69.7,2.7,15.8,9,0.7,2,154,31,2,22,152,240,736,1.25,18,10,18,2,96,0.02,0.15,2.4,7,7,0.14,8.4
15096,Fried tilapia,,1820,23.5,2.5,45.7,28.1,0,0.3,437,252,6.2,40,387,349,149,1.16,39,24,24,24,0,0.09,0.35,7.5,12,12,3.5,0
15097,Stewed Green Bananas,,350,81.8,0.8,1,3.8,2.2,10.4,84,9,0.7,15,24,175,100,0.21,1,6,13,0,75,0.03,0.03,0.3,10,10,0,13.2
15098,Stir Fried Beef,,1066,50.3,3.1,26.7,14.1,1,5,255,16,16.4,40,422,483,682,5.13,27,19,28,10,107,0.02,0.31,5.1,10,10,1.86,9.4
15099,Stir Fried Goat Meat,,1600,30.2,2.3,32.1,23.3,1.7,10.4,383,33,4.1,50,424,465,221,5.74,43,42,60,24,214,0.2,0.33,5.4,14,14,2.84,18.7
15100,Finger Millet Ugali,,505,65.1,1.4,2.9,0.7,8.9,21,120,137,4.4,61,72,212,3,0.67,6,0,0,0,1,0.06,0.01,1.6,26,26,0,0
15101,Omena Stew,,1860,32.8,3.4,19.2,39.3,0.8,4.6,450,879,2.3,33,782,281,90,5.28,7,55,69,41,171,0.11,0.17,5.4,22,22,16.78,10.9
15102,Aluru (Stewed Quails),,809,65.9,2.9,11.3,14.2,0.6,5.2,195,90,1.6,23,202,302,761,1.24,9,51,58,44,80,0.06,0.36,2.7,9,9,0.61,7.9
15103,Mashed Potatoes,,449,71,1.8,2.5,0.2,1.7,22.8,106,10,1.4,20,82,650,330,0.32,1,0,0,0,0,0.06,0.03,1.1,42,42,0,6
15104,Mashed Bananas,,344,76.9,1.7,1.2,0.3,3,16.9,81,8,0.6,20,25,245,348,0.19,1,0,0,0,2,0.04,0.03,0.2,11,11,0,13.7
15105,Enriched Mashed Potatoes,,591,70.4,1.4,2,6.2,1.4,18.6,141,10,1.1,16,67,529,209,0.26,1,51,54,48,38,0.05,0.03,0.9,34,34,0,4.9
15106,Enriched Mashed Bananas,,568,72.9,1.5,0.1,7.8,2.6,14.3,136,8,0.5,17,22,207,276,0.16,1,63,67,59,48,0.03,0.03,0.2,9,9,0.01,11.6
15107,Stewed Nile Perch,,522,74,2.4,14.3,6.3,0.5,2.5,125,105,1,26,216,203,596,0.51,16,16,22,10,68,0.01,0.01,1.6,9,9,0.86,5.2
15108,Stewed Goat Meat,,925,59.4,2.9,17.1,14.6,0.8,5.2,222,16,2.1,25,225,235,783,3.04,23,21,29,13,94,0.11,0.17,2.9,8,8,1.52,8.2
15109,Pan Fried Sweet Potatoes,,1040,51.7,1.2,3.1,13.9,4.9,25.3,248,44,0.8,21,50,325,16,0.73,1,796,1590,0,9550,0.04,0.07,1.2,11,11,0,35.2
15110,Potato Chips,,1370,32.1,1.9,4.8,13.6,3.3,44.4,326,17,2.7,37,159,1260,13,0.63,1,0,0,0,0,0.11,0.07,2.3,82,82,0,12
15111,Kimito (Mashed Beans & Potatoes),,537,64.1,2.3,5.7,0.8,5.4,21.6,127,35,2.2,36,173,557,359,0.77,2,0,0,0,1,0.09,0.06,1,58,58,0,3.4
15112,Arrowroot Stew,,383,77.8,1.4,1.9,2.3,1.8,14.9,91,11,0.9,18,41,431,250,0.44,1,48,95,0,570,0.09,0.05,1.1,13,13,0,5.3
15113,Sweet Potatoes with Peanut Butter,,373,81.1,0.9,2.2,4.4,2.2,9.3,89,23,0.7,21,33,179,130,0.42,1,263,526,0,3155,0.05,0.04,1.1,10,10,0,17
15114,Black Bean Stew,,261,83.6,1.1,3.6,1.3,2.8,7.7,62,17,1.2,26,55,175,164,0.42,2,3,5,0,30,0.07,0.03,0.4,4,4,0,2.6
15115,Bean Stew with Milk and Cream,,584,65.2,2.2,7.2,4.5,6.7,14.3,139,66,1.9,34,197,259,273,0.96,2,25,32,19,77,0.08,0.11,0.6,47,47,0.12,4.4
15116,Rice with Milk,,741,61.5,1.4,3.9,5.7,0.2,27.2,176,53,0.4,12,96,73,419,0.64,1,44,47,42,27,0.02,0.14,0.3,9,9,0.2,0
15117,Pan Fried Arrowroots,,761,56.9,3.1,4.1,5.2,2.5,28.3,181,8,1.3,29,50,696,616,1.09,1,2,3,0,20,0.21,0.1,2.4,0,0,0,1.7
15118,Nyenyi (Mashed Pigeon Peas & Green Maize),,524,66.4,2,4.9,2.3,6.5,17.8,125,56,1.8,41,106,479,273,0.89,4,23,34,12,130,0.14,0.05,1,54,54,0,2.9
15119,Finger Millet and Sorghum Porridge,,311,82.3,0.8,2.7,2.2,2.3,9.7,74,93,1.1,24,91,130,23,0.54,4,22,23,22,10,0.02,0.14,0.4,9,9,0.28,0
15120,Mashed Pumpkin and Black Nightshade,,277,80.8,3,3.8,2.4,5.1,4.9,67,91,6.7,41,75,456,411,0.66,1,88,176,0,1050,0.09,0.27,1.4,233,233,0,21.5
15121,Enriched Matoke,,465,73.7,1.4,2.4,3.5,3.2,15.8,111,15,0.9,33,37,256,220,0.32,2,0,0,0,2,0.08,0.04,1,14,14,0,12
15122,Oatmeal,,351,78.3,1.2,2.4,1.7,3.5,12.9,83,15,1,35,110,82,209,0.71,10,0,0,0,0,0.13,0.03,0.2,6,6,0,0
15123,Oat Porridge,,363,79.3,0.5,1.9,1.6,1.4,15.3,86,39,0.4,18,77,69,14,0.45,5,11,11,11,5,0.05,0.08,0.1,3,3,0.14,0
15124,Enriched Mandazi,,1590,23.5,0.8,7.6,16.1,2.2,49.9,379,45,3.3,21,134,105,80,0.66,2,90,92,88,24,0.47,0.36,3,236*,21,0.57,0.7
15125,Basic Mandazi,,1430,28.2,1.7,6.4,12.9,2.1,48.7,340,136,3.5,19,331,350,241,0.52,0,48,48,48,1,0.46,0.29,3,230*,17,0.4,0
15126,Stewed Split Dal,,291,81.8,1.9,3.7,1.9,2.7,8.1,69,22,1.2,21,54,142,459,0.42,6,9,18,0,105,0.05,0.03,0.3,31,31,0,4.8
15127,Potato Curry,,608,69,2.3,2.2,7,2.2,17.3,145,25,1.7,22,68,475,537,0.41,1,10,20,0,120,0.06,0.04,0.9,32,32,0,11.4
15128,Peas and Brinjal Curry,,544,72.5,2.4,4.2,8.5,5.8,6.6,131,38,2.1,30,71,253,520,1.96,2,29,58,0,348,0.13,0.09,1.1,56,56,0,16.8
15129,Steamed Rice,,513,68.6,1.5,2.6,0.3,0.2,26.7,121,10,0.3,9,49,22,521,0.45,1,0,0,0,0,0.02,0.04,0.4,2,2,0,0
15130,Rotli (Indian Chapati),,1560,21.6,2,8,16.7,7.9,43.8,374,25,2.7,83,199,234,354,1.64,27,44,46,42,25,0.32,0.09,2.2,39*,0,0,0
15131,Potato Bhajia,,1960,15.1,3.5,8.6,31,4.8,37.1,471,29,3,39,132,783,587,0.78,2,5,9,1,50,0.17,0.09,1.8,81,81,0,8.2
15132,Chaas (Diluted Yoghurt),,252,86.6,1.1,2,2.2,0,8,60,106,0.1,8,66,93,262,0.24,2,24,26,23,16,0.04,0.11,0,0,0,0.12,0
15133,Siro (Semolina & Nuts),,1720,28.4,0.8,4.3,26.1,1.1,39.4,412,81,0.5,19,105,140,24,0.66,4,196,205,187,105,0.03,0.18,0.3,9,9,0.32,0
15134,Minced Meat Balls,,659,65.9,1.3,8.1,5.4,0.8,18.6,157,14,4.4,17,126,133,321,1.55,7,9,16,2,79,0.02,0.1,1.4,5,5,0.43,4.1
15136,Wheat Flour Porridge,,468,76.3,0.3,2.5,3.9,0.9,16.1,111,14,0.9,21,32,60,3,0.24,1,7,7,7,0,0.11,0.05,1.4,37*,7,0.06,0
15137,Okra Meat Dish,,394,80.1,2.1,8.2,5.1,1.3,3.2,94,23,5.2,24,126,199,559,1.65,8,15,28,3,151,0.03,0.1,1.7,13,13,0.51,9.3
15138,Hydrabadi Biryani,,819,59.3,1.9,8.2,8.3,0.9,21.4,195,35,1,22,115,187,457,0.62,15,13,19,8,65,0.06,0.09,1.2,4,4,1.08,1.9
15139,Chick Peas Curry,,524,69.2,2.1,6,5.1,7.3,10.3,126,77,2.5,48,83,329,426,0.96,11,12,23,0,140,0.11,0.06,0.6,61,61,0,5.5
15140,Bhature (Fried Indian Bread),,1410,36.1,1.9,5.9,18.5,1.7,35.9,337,62,2.8,18,108,109,518,0.5,1,73,87,58,170,0.38,0.27,2.4,180*,15,0.35,1.4
15141,Pumpkins with Peanut Butter,,359,82.7,1.3,2.6,5.5,2.6,5.4,86,24,0.6,29,44,195,196,0.36,1,91,182,0,1090,0.1,0.06,1.6,26,26,0,5.5
15142,Boiled beans ,,390,74.9,2.1,5.2,2.3,5.3,10.2,93,43,1.6,32,150,229,355,0.7,2,2,4,0,24,0.09,0.05,0.6,69,69,0,1
